Restaurants ,Food Genre ,Location,Vibe ,Reservation,Stars,Price Point,Has Kelsey been?,TikTok/ IG Reels,Links: ,Notes
Yunnan Kitchen,Chinese,South end ,,,☆☆☆☆,,FALSE,,https://www.yunnankitchensouthend.com/,
Capo,Italian,Southie,,Yes ,☆☆☆☆,$$-$$$,TRUE,,https://www.caposouthboston.com/,
Lincoln,American,Southie,Casual,Yes ,☆☆☆☆,$$-$$$,TRUE,,https://www.lincolnsouthboston.com/,
Publico,Latin ,Southie,Casual,,☆☆☆☆,$$-$$$,FALSE,,https://www.publicoboston.com/,
Fat Baby,Asian Fusion,Southie,Casual,Hit or miss,☆☆☆☆,$$,TRUE,,https://fatbabysouthboston.com/,
Loco,Mexican,Southie,Casual,Yes ,☆☆☆☆,$$,TRUE,,https://locosouthboston.com/,
Hunters,American,Southie,Casual,Hit or miss,☆☆☆☆☆,$$-$$$,TRUE,,https://www.hunterssouthboston.com,
Gray's Hall,Wine Bar,Southie,,,☆☆☆☆☆,,FALSE,,https://www.grayshall.com/,
Mystique,Asian Fusion,Encore,Upscale,,☆☆☆☆☆,$$$$,TRUE,,https://www.encorebostonharbor.com/dining-and-nightlife/dining/mystique,
Oleana ,Mediterranean ,Cambridge,,,☆☆☆☆☆,$$$$,FALSE,,https://www.oleanarestaurant.com/,
Harvest,American,Cambridge,,,☆☆☆☆,$$$,FALSE,,https://www.harvestcambridge.com/,
Arden & Harlow,American,Cambridge,,,☆☆☆☆,$$$,FALSE,,https://www.aldenharlow.com/,
Gustazo,Cuban,Cambridge,,,☆☆☆☆,$$,FALSE,,https://www.gustazo-cubancafe.com/cambridge/,
Waypoint,Seafood,Cambridge,,,☆☆☆☆,$$$,FALSE,,https://www.waypointharvard.com/,
"NEW: 
Margeaux Supper Parlor",American,Cambridge,,,,,FALSE,,https://www.margeauxsupperparlor.com/ ,
Sarma,Mediterranean ,Somerville ,,,☆☆☆☆,$$,FALSE,,https://www.sarmarestaurant.com/,
Field & Vine,American ,Somerville ,Casual,,☆☆☆☆,$$,FALSE,,https://www.fieldandvinesomerville.com/,Ask to sit at the chef’s table 
Sarma ,Mediterranean ,Somerville ,,,☆☆☆☆☆,,FALSE,,https://www.sarmarestaurant.com/,
Salt + Stone,Seafood,Assembly Row,Casual,,☆☆☆☆,$$,FALSE,,https://saltandstoneboston.com,
Casa Verde,Mexican,Jamaica Plain,Casual,,☆☆☆☆,$$,FALSE,,http://www.casaverdejp.com,
Tres Gatos,"Spanish Tapas",Jamaica Plain,,,☆☆☆☆,$$,FALSE,,http://www.tresgatosjp.com ,
Tonino,Italian,Jamaica Plain,,,☆☆☆☆☆,,FALSE,,https://www.toninojp.com/,
Rinos Place,Italian,East Boston,,,☆☆☆☆,$$,FALSE,,http://rinosplace.com/,
Pazza on the Porter,Italian,East Boston,,,☆☆☆☆,$$,FALSE,,https://www.pazzaonporter.com/,
Taquería Jalisco,Mexican,East Boston,Casual,No,☆☆☆☆,$$,FALSE,,https://instagram.com/taqueriajaliscoeb?igshid=MWI4MTIyMDE=,Try the Birria tacos
Lucy's American Tavern,American,Dorchester,Casual,No,☆☆☆☆,$$,FALSE,,https://www.lucysamericantavern.com/ ,
Mochinut,"Dessert Korean",Multiple locations,,No,☆☆☆☆,$$,FALSE,,https://www.mochinut.com/,
Rubato,Asian ,Quincy,Casual,,☆☆☆☆,$,FALSE,,https://www.rubato-food.com/,
Chili Square,Chinese,Quincy,Casual,,☆☆☆☆,$,FALSE,,,
Cucina Mia Cafe & Deli,Deli,Quincy,Casual,No,,,FALSE,,https://www.cucinamiacafe.com/ ,
Wei Shu Wu Hot Pot,Chinese,Quincy,,,☆☆☆☆☆,,FALSE,,,
Cloud Asian Fusion & Bar,Asian ,Quincy,,,☆☆☆☆☆,$$,FALSE,,https://www.cloudfusionbar.com/,
H Mart Food Court,Asian ,Quincy,,,,,TRUE,,https://www.hmart.com/store/quincy-ma-02169/f7c42f63-9d8a-442a-a782-b5c159795217,
Prima,Italian,Charlestown,"Trendy
Datenight",Yes,☆☆☆☆,,TRUE,,https://www.primaboston.com/,Great Brunch
